Data;PIB
jun/12;395.383,30
jul/12;409.021,00
ago/12;418.752,00
set/12;402.675,80
out/12;431.405,60
nov/12;426.600,50
dez/12;413.705,40
jan/13;408.889,70
fev/13;398.093,70
mar/13;434.630,20
abr/13;446.505,00
mai/13;441.335,30
jun/13;434.739,60
jul/13;452.597,50
ago/13;453.781,60
set/13;447.754,90
out/13;475.713,60
nov/13;470.324,80
dez/13;467.252,80
jan/14;453.279,10
fev/14;455.501,70
mar/14;477.200,30
abr/14;479.721,10
mai/14;481.273,50
jun/14;461.327,20
jul/14;486.905,10
ago/14;483.778,70
set/14;491.441,70
out/14;508.969,90
nov/14;498.509,10
dez/14;501.045,70
jan/15;474.353,60
fev/15;466.743,90
mar/15;515.561,20
abr/15;497.120,50
mai/15;492.286,70
jun/15;490.562,60
jul/15;507.175,40
ago/15;501.392,00
set/15;499.660,80
out/15;521.322,30
nov/15;513.567,90
dez/15;516.040,10
jan/16;481.693,70
fev/16;490.465,90
mar/16;528.139,30
abr/16;520.852,90
mai/16;516.498,40
jun/16;521.698,90
jul/16;521.940,30
ago/16;530.769,10
set/16;524.461,20
out/16;539.700,50
nov/16;546.134,40
dez/16;546.973,60
jan/17;513.834,90
fev/17;510.882,80
mar/17;560.955,70
abr/17;537.646,90
mai/17;551.016,00
jun/17;542.066,70
jul/17;548.400,70
ago/17;555.965,70
set/17;544.268,90
out/17;568.780,30
nov/17;573.980,40
dez/17;577.680,10
jan/18;552.597,60
fev/18;540.025,90
mar/18;589.459,50
abr/18;587.651,00
mai/18;562.128,40
jun/18;584.319,60
jul/18;592.237,90
ago/18;599.083,80
set/18;576.534,00
out/18;612.216,70
nov/18;607.738,20
dez/18;600.148,30
jan/19;578.607,40
fev/19;576.604,50
mar/19;602.341,70
abr/19;613.543,10
mai/19;615.842,80
jun/19;597.375,30
jul/19;632.212,20
ago/19;629.562,80
set/19;618.835,20
out/19;649.641,20
nov/19;638.052,10
dez/19;636.512,70
jan/20;613.929,60
fev/20;618.278,40
mar/20;635.886,50
abr/20;567.577,30
mai/20;577.720,50
jun/20;607.425,80
jul/20;643.947,60
ago/20;637.390,00
set/20;647.985,80
out/20;673.364,10
nov/20;680.114,30
dez/20;705.977,00
jan/21;678.578,20
fev/21;707.225,60
mar/21;770.866,20
abr/21;738.428,30
mai/21;731.644,10
jun/21;733.566,40
jul/21;766.283,40
ago/21;767.472,20
set/21;762.095,50
out/21;773.417,10
nov/21;788.311,30
dez/21;794.253,70
jan/22;724.731,30
fev/22;753.035,30
mar/22;841.761,60
abr/22;832.452,90
mai/22;842.011,10
jun/22;843.017,50
jul/22;869.555,00
ago/22;873.808,20
set/22;857.818,70
out/22;880.593,60
nov/22;880.594,90
dez/22;880.296,60
jan/23;812.834,60
fev/23;831.261,80
mar/23;938.609,30
abr/23;904.071,10
mai/23;903.574,60
jun/23;893.459,20
jul/23;912.361,70
ago/23;923.704,80
set/23;904.894,90
out/23;940.634,00
nov/23;949.003,40
dez/23;941.702,80
