Data,contabil_bndu_imobiliario_br,contabil_financiamento_comercial_br,contabil_financiamento_residencial_br,credito_contratacao_contratado_pf_comercial_br,credito_contratacao_contratado_pf_fgts_br,credito_contratacao_contratado_pf_home_equity_br,credito_contratacao_contratado_pf_livre_br,credito_contratacao_contratado_pf_sfh_br,credito_contratacao_indexador_pf_ipca_br,credito_contratacao_indexador_pf_outros_br,credito_contratacao_indexador_pf_prefixado_br,credito_contratacao_indexador_pf_tr_br,credito_contratacao_ltv_pf_comercial_br,credito_contratacao_ltv_pf_fgts_br,credito_contratacao_ltv_pf_home_equity_br,credito_contratacao_ltv_pf_livre_br,credito_contratacao_ltv_pf_sfh_br,credito_contratacao_taxa_pf_comercial_br,credito_contratacao_taxa_pf_fgts_br,credito_contratacao_taxa_pf_home_equity_br,credito_contratacao_taxa_pf_livre_br,credito_contratacao_taxa_pf_sfh_br,credito_estoque_ativo_problematico_pf_comercial_br,credito_estoque_ativo_problematico_pf_fgts_br,credito_estoque_ativo_problematico_pf_home_equity_br,credito_estoque_ativo_problematico_pf_livre_br,credito_estoque_ativo_problematico_pf_sfh_br,credito_estoque_carteira_credito_pf_comercial_br,credito_estoque_carteira_credito_pf_fgts_br,credito_estoque_carteira_credito_pf_home_equity_br,credito_estoque_carteira_credito_pf_livre_br,credito_estoque_carteira_credito_pf_sfh_br,credito_estoque_inadimplencia_pf_comercial_br,credito_estoque_inadimplencia_pf_fgts_br,credito_estoque_inadimplencia_pf_home_equity_br,credito_estoque_inadimplencia_pf_livre_br,credito_estoque_inadimplencia_pf_sfh_br,credito_estoque_indexador_pf_ipca_br,credito_estoque_indexador_pf_outros_br,credito_estoque_indexador_pf_prefixado_br,credito_estoque_indexador_pf_tr_br,credito_estoque_parcela_pf_comercial_br,credito_estoque_parcela_pf_fgts_br,credito_estoque_parcela_pf_home_equity_br,credito_estoque_parcela_pf_livre_br,credito_estoque_parcela_pf_sfh_br,credito_estoque_risco_operacao_pf_a_br,credito_estoque_risco_operacao_pf_aa_br,credito_estoque_risco_operacao_pf_b_br,credito_estoque_risco_operacao_pf_c_br,credito_estoque_risco_operacao_pf_comercial_a_br,credito_estoque_risco_operacao_pf_comercial_aa_br,credito_estoque_risco_operacao_pf_comercial_b_br,credito_estoque_risco_operacao_pf_comercial_c_br,credito_estoque_risco_operacao_pf_comercial_d_mais_br,credito_estoque_risco_operacao_pf_d_mais_br,credito_estoque_risco_operacao_pf_fgts_a_br,credito_estoque_risco_operacao_pf_fgts_aa_br,credito_estoque_risco_operacao_pf_fgts_b_br,credito_estoque_risco_operacao_pf_fgts_c_br,credito_estoque_risco_operacao_pf_fgts_d_mais_br,credito_estoque_risco_operacao_pf_home_equity_a_br,credito_estoque_risco_operacao_pf_home_equity_aa_br,credito_estoque_risco_operacao_pf_home_equity_b_br,credito_estoque_risco_operacao_pf_home_equity_c_br,credito_estoque_risco_operacao_pf_home_equity_d_mais_br,credito_estoque_risco_operacao_pf_livre_a_br,credito_estoque_risco_operacao_pf_livre_aa_br,credito_estoque_risco_operacao_pf_livre_b_br,credito_estoque_risco_operacao_pf_livre_c_br,credito_estoque_risco_operacao_pf_livre_d_mais_br,credito_estoque_risco_operacao_pf_sfh_a_br,credito_estoque_risco_operacao_pf_sfh_aa_br,credito_estoque_risco_operacao_pf_sfh_b_br,credito_estoque_risco_operacao_pf_sfh_c_br,credito_estoque_risco_operacao_pf_sfh_d_mais_br,direcionamento_6100_br,direcionamento_6101_br,direcionamento_6102_br,direcionamento_6104_br,direcionamento_6107_br,direcionamento_6109_br,direcionamento_6113_br,direcionamento_6117_br,direcionamento_6119_br,direcionamento_6122_br,direcionamento_6123_br,direcionamento_6124_br,direcionamento_6139_br,direcionamento_6143_br,direcionamento_6166_br,direcionamento_6172_br,direcionamento_6178_br,direcionamento_6180_br,direcionamento_6200_br,direcionamento_6201_br,direcionamento_6202_br,direcionamento_6204_br,direcionamento_6206_br,direcionamento_6208_br,direcionamento_6209_br,direcionamento_6210_br,direcionamento_6214_br,direcionamento_6215_br,direcionamento_6216_br,direcionamento_6217_br,direcionamento_6218_br,direcionamento_6266_br,direcionamento_6280_br,direcionamento_6707_br,direcionamento_6716_br,direcionamento_6719_br,direcionamento_6720_br,direcionamento_6722_br,direcionamento_6730_br,direcionamento_6778_br,direcionamento_6800_br,direcionamento_6801_br,direcionamento_6802_br,direcionamento_6804_br,direcionamento_6805_br,direcionamento_6810_br,direcionamento_6814_br,direcionamento_6816_br,direcionamento_6817_br,direcionamento_6818_br,direcionamento_6830_br,direcionamento_6831_br,direcionamento_6838_br,direcionamento_6866_br,direcionamento_6880_br,direcionamento_aplicacao_comercial_br,direcionamento_aplicacao_imobiliario_br,direcionamento_aplicacao_residencial_br,direcionamento_aquisicao_comercial_br,direcionamento_aquisicao_imobiliario_br,direcionamento_aquisicao_residencial_br,direcionamento_construcao_comercial_br,direcionamento_construcao_imobiliario_br,direcionamento_construcao_residencial_br,direcionamento_reforma_ampliacao_comercial_br,direcionamento_reforma_ampliacao_imobiliario_br,direcionamento_reforma_ampliacao_residencial_br,fontes_cri_br,fontes_lci_br,fontes_lh_br,fontes_lig_br,fontes_sbpe_captacao_br,fontes_sbpe_saldo_br,imoveis_area_privativa_br,imoveis_area_total_br,imoveis_dormitorio_1_br,imoveis_dormitorio_2_br,imoveis_dormitorio_3_br,imoveis_dormitorio_4_mais_br,imoveis_garantia_alienacao_fiduciaria_br,imoveis_garantia_hipoteca_br,imoveis_implantacao_condominio_br,imoveis_implantacao_isolado_br,imoveis_tipo_apartamento_br,imoveis_tipo_casa_br,imoveis_valor_avaliacao_br,imoveis_valor_compra_br,indices_imobiliario_pib_br,indices_ivg_r_br,indices_mvg_r_br,indices_pib_br,indices_selic_br,credito_contratacao_contratado_mediana_pf_comercial,credito_contratacao_contratado_mediana_pf_fgts,credito_contratacao_contratado_mediana_pf_home_equity,credito_contratacao_contratado_mediana_pf_livre,credito_contratacao_contratado_mediana_pf_sfh,contratacao_pf_total
2014-04-30,4467034241.77,13689016663.8,408286224394.57,25627126.2,2270508362.27,272720719.39,2022522218.71,5414101117.61,,42165053.25,66203171.53,9897111319.4,60.41,77.96,41.03,62.8,73.39,9.99,5.48,18.89,9.27,8.97,9861376.64,8901810145.83,619128721.07,1146923451.7,9280300785.13,561783561.16,122111076564.93,10320047311.19,57276878484.87,180260925935.4,1.22,2.39,4.11,1.29,1.49,,829091785.74,4140248029.41,365561372042.4,,,,,,27.97,48.05,11.39,7.5,86.8,8.25,2.17,1.28,1.51,5.09,24.5,48.98,9.85,9.36,7.31,28.64,37.18,10.69,16.26,7.23,25.75,47.99,19.76,3.89,2.61,30.81,48.18,9.84,6.91,4.26,270757416582.49,36457217599.53,20942004436.1,637356859.38,72741601.0,1446355879.55,30700748684.12,9197242607.05,41573341.53,80930.0,68539878136.04,566340531.25,16976816200.71,24212659635.08,19255189624.91,1996294994.58,,,,,,,,,,,,,,,,,,,477468.09,1034834673.0,38696360802.22,595862026.08,0.0,,,,,,,,,,,,,,,,,-39134855981.05,325585143530.19,364719999511.24,,270757416582.49,270757416582.49,,19255189624.91,19255189624.91,,,,41097931343.83,114102520317.22,1304882024.83,,2426260410.0,480464916610.0,,,,,,,,,,,,,,,7.48,537.93,148008.0,5509202450770.58,11.0,168832.34,82887.0,84567.72,300000.0,144500.0,10005479544.18
2014-05-31,4587111672.81,14133392272.57,418477276795.11,48241265.02,2675238251.06,273942550.95,2397399725.41,6697185289.52,,31836306.23,66758113.34,11993412662.39,61.29,78.4,39.91,63.84,74.08,9.75,5.46,19.07,9.27,9.02,9986814.34,8904867512.85,686381474.85,1291710400.51,8923534290.78,600306471.27,124038891161.74,10435072474.42,58900783018.37,184983631217.02,1.1,2.57,4.53,1.44,1.45,,880421328.8,4120012617.02,373958250397.0,,,,,,28.12,46.86,12.18,7.92,82.99,12.38,1.9,1.38,1.34,4.93,24.29,47.53,11.14,9.93,7.12,29.04,36.12,11.11,16.58,7.15,26.11,46.98,20.01,4.0,2.9,31.09,47.09,10.47,7.35,4.0,278111884227.97,37511700581.13,21341106548.45,634611850.77,73029521.0,1438078158.31,30745018608.64,9180377941.3,24578713.82,81706.0,72027579079.17,583818792.1,17320688561.1,24257696206.84,19592861692.3,2002897455.19,,,,,,,,,,,,,,,,,,,291728.1,1022803009.86,38817681804.78,398588873.64,0.0,,,,,,,,,,,,,,,,,-39441604212.9,331349083860.85,370790688073.75,,278111884227.97,278111884227.97,,19592861692.3,19592861692.3,,,,40795547474.8,117295886910.74,1366089391.35,,2914692760.0,485037160050.0,,,,,,,,,,,,,,,7.6,540.55,148539.0,5549140641021.7,11.0,192632.14,84275.49,84000.0,300000.0,140455.0,12092007081.96
2014-06-30,4963143207.69,14701704433.89,427649780443.98,45679503.39,2943573766.65,430680494.77,2080354828.41,5689548714.37,,31727612.38,220338831.42,10937770863.79,58.12,78.21,43.42,63.68,73.23,9.82,5.41,19.75,9.2,9.04,11561241.29,8773949311.36,802552988.46,1372341632.96,8989555220.56,637257429.83,126202763141.47,11825103563.4,60223755218.87,189154130022.22,1.26,2.18,4.22,1.4,1.35,,934740868.8,5331555075.93,381776713431.06,,,,,,28.45,45.7,12.43,8.55,83.35,12.13,2.17,1.14,1.21,4.87,24.64,46.65,11.3,10.5,6.91,27.3,31.64,11.43,22.6,7.04,26.89,45.64,20.15,4.12,3.21,31.38,46.07,10.82,7.81,3.92,284820495109.65,37997434483.97,20886424278.83,633175085.78,72682239.0,1430229239.17,30957283992.69,9196964112.99,40621205.32,82530.0,75457081639.64,551363266.05,17466644775.34,24265558177.62,19925201876.61,2010416613.44,,,,,,,,,,,,,,,,,,,478393.74,1006757950.52,38882400462.56,411192993.85,0.0,,,,,,,,,,,,,,,,,-39477487025.49,335319843261.33,374797330286.82,,284820495109.65,284820495109.65,,19925201876.61,19925201876.61,,,,41789185601.09,119665807678.41,1413619558.68,,1939729060.0,490241090470.0,,,,,,,,,,,,,,,7.72,542.87,145000.0,5575728224151.92,11.0,153550.0,84985.57,83942.5,312307.64,144000.0,11189837307.59
2014-07-31,4877610116.61,15114675639.59,436693028607.39,57652954.51,3590714640.31,275115100.43,2226899965.49,5673873694.22,,31110895.4,101504556.11,11691640903.45,57.47,77.92,41.12,63.63,73.08,10.51,5.64,19.35,9.55,9.21,10055501.29,9635996571.17,854747411.22,1472196719.94,8656068796.68,683326951.26,136546497074.87,11876517411.53,61598600932.64,185466386296.87,0.96,2.12,4.2,1.39,1.39,,947160915.9,5315692865.98,389908474885.29,,,,,,28.63,44.83,12.7,8.9,77.62,18.14,1.94,1.09,1.21,4.95,25.34,44.06,13.1,10.43,7.06,27.64,31.03,11.47,22.74,7.11,26.92,45.14,20.4,4.27,3.26,31.5,46.27,9.95,8.45,3.83,291964138342.34,38166759294.26,21378303061.8,630425368.91,72209564.0,1417569719.18,31037561977.58,9262786808.4,40364907.05,,79148915753.51,507968321.15,18229385101.45,24269229091.04,20317443258.61,2018146264.95,,,,,,,,,,,,,,,,,,,484030.05,987550863.11,39482721379.67,598886467.73,,,,,,,,,,,,,,,,,,-39870901745.0,340292473582.21,380163375327.21,,291964138342.34,291964138342.34,,20317443258.61,20317443258.61,,,,42046400408.56,123616930842.01,1494045405.59,,2615236210.0,495725873560.0,,,,,,,,,,,,,,,7.84,544.89,145000.0,5610035739523.31,11.0,145368.45,87473.0,82492.27,300000.0,162000.0,11824256354.96
2014-08-31,5020692804.54,15588904764.98,445662104684.8,58744529.54,3318467428.94,293162760.92,2197764246.49,5279652370.82,,17469042.33,107494357.59,11022827936.79,56.43,78.23,41.25,63.14,72.68,9.9,5.52,19.04,9.28,9.09,10863316.83,9540094825.47,894464089.29,1526622058.85,8632665898.18,730227964.3,139276953366.63,11899535025.3,63060569060.99,189323692861.28,0.96,2.18,4.33,1.38,1.42,,931659661.35,5260144813.51,398099173803.64,,,,,,25.11,47.63,12.96,9.3,23.37,71.58,1.68,2.11,1.25,5.0,25.39,43.02,13.54,10.94,7.11,27.65,30.61,11.36,23.19,7.19,20.43,51.2,20.53,4.53,3.3,26.31,50.8,10.16,8.83,3.9,298685638784.2,38860697401.88,21908650891.82,630933023.35,71704044.0,1409665625.1,30669859452.41,9230402834.57,40497880.96,,82955950239.23,536971898.23,18812708242.28,24282373378.74,20702542856.64,2026021466.96,,,,,,,,,,,,,,,,,,,486985.11,971078732.1,40582189237.21,602480933.48,,,,,,,,,,,,,,,,,,-40950300050.72,343962417491.19,384912717541.91,,298685638784.2,298685638784.2,,20702542856.64,20702542856.64,,,,44153062401.34,127289441517.82,1457436128.17,,2692177600.0,499480829680.0,,,,,,,,,,,,,,,7.95,546.62,145000.0,5640032788181.86,11.0,160550.0,87710.6,83000.0,305900.0,162000.0,11147791336.71
2014-09-30,4754449172.46,16019172551.71,452288854186.59,55451532.35,3229870416.88,295452563.17,2371914183.93,6013551444.88,,47892285.37,102977487.99,11815370367.85,57.47,78.41,40.55,62.93,72.82,10.07,5.57,18.96,9.37,9.17,11267558.81,9867016835.67,891040954.5,1445594118.83,8409809171.93,771346952.48,141421242549.91,11911143849.94,64464824894.06,193233263716.43,1.0,2.23,4.24,1.18,1.26,,931775906.0,5247617053.96,405622429002.86,,,,,,16.87,56.36,12.55,8.99,24.27,70.2,1.63,2.77,1.12,5.23,11.71,56.2,13.22,10.77,8.1,20.22,38.65,11.25,22.26,7.61,16.22,56.2,20.32,4.35,2.9,20.62,57.56,9.6,8.44,3.77,304002037693.26,39204998095.56,22853771418.41,629984239.27,71666507.0,1315295164.42,34350504135.67,9181351594.37,40179690.76,,86729787194.81,584296266.92,19380349400.41,23702245884.34,21080325641.85,1992671685.96,,,,,,,,,,,,,,,,,,,489867.59,952729862.1,41955485122.31,537026847.46,,,,,,,,,,,,,,,,,,-42370698269.36,349289191954.03,391659890223.39,,304002037693.26,304002037693.26,,21080325641.85,21080325641.85,,,,42995353955.24,131304214401.4,1466634693.77,,2257409130.0,503952907690.0,,,,,,,,,,,,,,,8.03,548.06,150000.0,5683719566274.18,11.0,179976.54,88595.85,84519.39,305269.09,162000.0,11966240141.21
2014-10-31,4680470512.17,16550840078.58,461970841016.55,59085883.53,3478764258.6,314108935.33,2459623712.08,5843404449.66,,54750104.19,140540458.12,11959696676.89,62.17,78.67,45.17,56.64,72.0,11.63,5.62,18.39,9.64,9.3,11249692.2,10227829702.48,912928648.52,1546324695.59,8751916885.19,818459298.74,144380347550.47,11936934256.27,66118993573.04,197314794331.11,0.93,2.42,4.07,1.19,1.36,,965037816.16,5225714293.42,414378776900.05,,,,,,17.26,55.29,12.91,9.18,23.92,71.8,1.42,1.82,1.03,5.36,12.04,54.7,13.85,11.21,8.19,20.82,37.74,11.33,22.52,7.59,16.68,55.55,20.42,4.33,3.02,21.02,56.62,9.85,8.54,3.96,311388119863.7,39663243435.78,23333269347.05,629706855.41,71720076.0,1395327899.77,34581309129.35,9163485811.3,39713623.59,,91672853898.17,632804646.41,20125148483.32,23711988372.72,21550019993.1,2005328998.94,,,,,,,,,,,,,,,,,,,490286.27,939685387.27,44120157886.44,381540906.56,,,,,,,,,,,,,,,,,,-44677812080.88,351940520557.39,396618332638.27,,311388119863.7,311388119863.7,,21550019993.1,21550019993.1,,,,43672379535.52,138013447613.84,1446338959.0,,2012023430.0,508271771690.0,,,,,,,,,,,,,,,8.15,549.23,150000.0,5716975806258.7,11.25,158974.84,87652.7,85000.0,314820.43,162000.0,12154987239.2
2014-11-30,4764266780.45,16968889909.47,470533604105.38,54568403.86,3200472597.09,242276506.34,2204698825.49,5179210280.82,,28867737.6,89541094.46,10762817781.54,63.15,78.79,41.06,62.47,72.42,9.94,5.48,19.01,9.17,9.08,11374740.01,10352393222.82,932101267.63,1605465142.98,8829284874.41,865739725.6,146942069550.21,11975189957.45,67608422374.83,201065525628.1,0.93,2.3,4.42,1.22,1.3,,988299702.18,5207227678.16,422261419855.85,,,,,,14.38,59.14,12.52,8.45,22.58,73.96,1.19,1.21,1.06,5.51,10.92,56.59,13.6,10.3,8.59,15.35,44.51,10.94,21.22,7.98,15.19,58.18,19.95,3.97,2.71,16.53,62.14,9.37,7.86,4.09,317998024946.79,40093587917.18,23123405609.17,628424912.64,71981344.0,1387273858.11,34409411256.89,9153626763.29,39615216.73,,97777013356.62,645807530.66,20497751447.83,23722027898.48,21978400836.71,2015656105.47,,,,,,,,,,,,,,,,,,,246266.48,993035341.22,44490521332.76,351145737.19,,,,,,,,,,,,,,,,,,-45132164670.31,352855817617.02,397987982287.33,,317998024946.79,317998024946.79,,21978400836.71,21978400836.71,,,,43316423619.68,143387257374.96,1431870391.22,,4117989030.0,514771542200.0,,,,,,,,,,,,,,,8.26,550.11,150000.0,5745160088931.39,11.25,150000.0,88000.0,82000.0,300000.0,162940.26,10881226613.6
2014-12-31,5404155001.63,17352685028.24,479665601897.73,61867641.36,3459281392.51,268609361.49,2428256390.64,5896671289.38,,31030325.64,73378794.63,12010276955.11,61.25,78.93,39.11,62.69,72.63,10.41,5.56,18.89,9.49,9.23,12048245.09,9718784794.57,1002733658.77,1672857305.93,8747046269.51,910821306.07,149723111637.21,11988997632.24,69049902024.58,204920968198.25,0.94,1.81,4.28,1.16,1.12,,1123524060.05,5048425338.3,430421851400.0,,,,,,14.96,58.16,12.87,8.69,21.74,75.57,0.95,0.79,0.95,5.32,11.76,55.33,14.19,10.66,8.05,16.06,43.73,11.08,20.95,8.18,15.53,57.68,19.97,4.08,2.75,17.01,61.16,9.67,8.11,4.04,325025844983.33,40289774217.92,23165263718.93,626530611.87,72656420.0,1384435998.54,34434728427.33,9658808154.51,39335130.47,,102953619749.41,684668059.49,20737660699.61,23681631265.98,22426803153.54,2021896315.96,,,,,,,,,,,,,,,,,,,246665.21,904001766.11,44049231296.57,288048859.34,,,,,,,,,,,,,,,,,,-44664937538.13,356631479869.94,401296417408.07,,325025844983.33,325025844983.33,,22426803153.54,22426803153.54,,,,46984403605.33,150908631060.54,1368525621.91,,408964910.0,522343501310.0,,,,,,,,,,,,,,,8.36,550.72,150000.0,5778953000008.59,11.75,189401.28,88347.54,85000.0,338111.45,163839.94,12114686075.380001
2015-01-31,5328299637.34,17533753801.79,487333815458.95,37462023.97,2740439299.68,191834035.64,2165005316.05,5887511142.74,,26182715.83,84398755.95,10911670346.3,59.01,78.73,42.37,63.45,72.58,10.32,5.58,19.45,9.41,9.18,12067368.39,10041247716.02,1056808132.22,1826039710.23,9011638810.51,935759174.59,151746896689.31,11958451537.68,70468160577.27,208819718076.38,0.94,2.1,4.68,1.31,1.27,,1031231238.23,5120689363.34,437777065453.66,,,,,,16.59,55.8,13.03,9.13,20.65,76.23,1.45,0.51,1.17,5.44,11.95,54.29,14.41,11.24,8.11,20.02,38.61,11.45,21.38,8.55,16.02,56.86,19.91,4.31,2.91,19.95,57.44,9.85,8.56,4.2,331478991617.8,40359561542.67,22842819139.86,622872254.06,72996107.0,1377921457.97,34625980558.28,10377171371.83,39345388.97,,110843938150.25,691198777.22,21511168337.15,23681045449.3,22811476183.94,2029201963.68,,,,,,,,,,,,,,,,,,,247779.33,863134118.54,43761553702.29,272134157.33,,,,,,,,,,,,,,,,,,-44352305884.17,357325506115.31,401677811999.48,,331478991617.8,331478991617.8,,22811476183.94,22811476183.94,,,,47088949644.78,159667006385.09,1361301605.78,,2720984020.0,520702333160.0,,,,,,,,,,,,,,,8.46,551.05,156000.0,5800027500514.48,12.25,164939.03,89587.0,85000.0,327000.0,162000.0,11022251818.08
