Data,BB,BRADESCO,ITAU,SANTANDER,CAIXA,Outros
dez/12,3.971398977005685,3.8849034633435475,7.08612361773974,4.637811609086874,77.39515043649625,3.0246118963278974
dez/13,5.4153957392413705,3.8050757623111524,5.9272268049392265,4.658894327698914,77.50568008785868,2.687727277950657
dez/14,6.534772013118503,4.01378041356321,5.955137848216623,4.945964594148642,75.93501789224193,2.615327238711089
dez/15,7.37249987962993,4.367654298920487,6.400943517240256,5.189393449714949,73.98317848786135,2.6863303666330296
dez/16,7.753839330543983,5.755826491079144,6.58569772192691,5.080432298086144,73.18317715983945,1.6410269985243815
dez/17,7.7715614200360505,5.712439113039622,6.591865330193294,4.956956816058577,73.5785981017887,1.3885792188837627
dez/18,8.021970209399624,6.249188475115654,6.714739003562961,5.415874445020494,72.17650923059145,1.4217186363098193
dez/19,7.6531682519361866,6.8583852041453035,7.000211320023733,5.824732185188957,71.14422712751521,1.5192759111906184
dez/20,6.526312357701568,7.879381838359252,7.737097097284379,6.146112595517258,69.9398016391246,1.7712944720129542
dez/21,5.588066845879041,9.02763146548052,10.357166645271937,6.428584465987745,66.20378845371341,2.394762123667334
dez/22,4.9194875507574585,8.6365135100203,11.320362106407035,6.020595330526799,66.30404424564674,2.7989972566416697
set/23,4.5960245634064,8.218636163632524,11.095245159756102,5.769834655402459,67.33846746886717,2.981791988935356
