data_base,faixa,carteira_ativa,carteira_inadimplida_arrastada,inadimplencia
2012-06-01,Faixa1,3922136547.76,79119316.6,0.02017250435739837
2012-06-01,Faixa2,2055488969.03,48959978.95,0.023819139721827146
2012-06-01,Faixa3,6553745616.389999,94487619.14999999,0.014417346152969333
2012-06-01,Sem Renda,8810133042.16,172235843.71,0.019549743787725202
2012-06-01,alta,188809349048.75,2333938098.6400003,0.01236134815568579
2012-06-01,indisponivel,811586437.28,82818520.46,0.10204522482850133
2012-07-01,Faixa1,54154185159.22,841812430.9499999,0.01554473451082252
2012-07-01,Faixa2,34855415381.88,492706474.91,0.014135722369446768
2012-07-01,Faixa3,41464007175.07,533040154.46999997,0.012855490599820447
2012-07-01,Sem Renda,1179242189.83,45945615.449999996,0.03896198409982561
2012-07-01,alta,84523972426.32,764382868.67,0.009043385523986305
2012-07-01,indisponivel,755732277.43,43838962.51,0.05800858825175772
2012-08-01,Faixa1,53349019912.380005,875821162.52,0.016416818227559596
2012-08-01,Faixa2,37092187378.6,538618607.23,0.014521079647644375
2012-08-01,Faixa3,43708577167.69,545231536.6,0.012474245832990484
2012-08-01,Sem Renda,1207918075.51,47113677.32,0.0390040336966627
2012-08-01,alta,87900124789.34,767598075.09,0.008732616443146275
2012-08-01,indisponivel,774501182.47,44996600.42,0.05809752320390153
2012-09-01,Faixa1,54875795708.479996,933376816.19,0.017008898078643527
2012-09-01,Faixa2,37355546811.14,553337967.89,0.014812739074267441
2012-09-01,Faixa3,43278381240.729996,589439407.67,0.01361971937885858
2012-09-01,Sem Renda,1099088427.91,34005206.19,0.030939463401196455
2012-09-01,alta,89705042302.55,871356753.79,0.009713576086962397
2012-09-01,indisponivel,763791048.71,40930726.21,0.05358890534149318
2012-10-01,Faixa1,61256169116.11,972004642.04,0.0158678653279408
2012-10-01,Faixa2,37972215805.82,538270964.4399999,0.014175389900673092
2012-10-01,Faixa3,44390387958.57,580064987.7,0.013067355668109515
2012-10-01,Sem Renda,1065748436.91,31560948.36,0.029613881913359306
2012-10-01,alta,87809114849.91,856360629.4100001,0.00975252547385037
2012-10-01,indisponivel,746052193.42,38560578.12,0.051686166812583596
2012-11-01,Faixa1,64170680835.57,1007836689.39,0.015705563292564492
2012-11-01,Faixa2,39035676996.659996,565321873.92,0.014482184437799568
2012-11-01,Faixa3,45769493475.65,604009007.63,0.013196759714007782
2012-11-01,Sem Renda,1072762397.85,35505104.2,0.03309689477479666
2012-11-01,alta,88041043266.29999,898758190.61,0.010208400051456719
2012-11-01,indisponivel,736561833.3199999,37625288.050000004,0.05108232105973602
2012-12-01,Faixa1,67455304826.95,969057140.51,0.014365914482130376
2012-12-01,Faixa2,40033258953.39,541901773.08,0.013536289256663479
2012-12-01,Faixa3,46890492578.36,564078073.78,0.012029689661232572
2012-12-01,Sem Renda,1117761175.79,29088302.17,0.026023718483012496
2012-12-01,alta,89447543540.07,886017187.9100001,0.009905439018714797
2012-12-01,indisponivel,724530794.65,39344306.03,0.054303152220060026
2013-01-01,Faixa1,70784243592.15,1000481454.4200001,0.01413423953761023
2013-01-01,Faixa2,41056647149.52,558008602.89,0.013591187825392698
2013-01-01,Faixa3,48036384317.21,572980699.5,0.01192805636070153
2013-01-01,Sem Renda,1125454164.42,30111845.72,0.026755283930659284
2013-01-01,alta,89509452848.28,879940614.3199999,0.009830700404475869
2013-01-01,indisponivel,633162656.03,22574017.33,0.03565279334624943
2013-02-01,Faixa1,73378125558.22,1220722376.08,0.016636052867164738
2013-02-01,Faixa2,41960740916.56,655325318.49,0.015617582153592834
2013-02-01,Faixa3,48770611292.25,652417520.86,0.013377267653064538
2013-02-01,Sem Renda,1138954043.61,27694521.7,0.02431574992457127
2013-02-01,alta,90244916353.42,962608940.0,0.010666627871094705
2013-02-01,indisponivel,623627000.32,22350089.98,0.0358388747897887
2013-03-01,Faixa1,65617747098.66,1479825193.31,0.022552209710659507
2013-03-01,Faixa2,39245010062.44,683292204.53,0.017410932076278265
2013-03-01,Faixa3,49427102904.28,693668907.64,0.014034180983323093
2013-03-01,Sem Renda,905489324.73,27712601.419999998,0.030605111140612703
2013-03-01,alta,107251429970.1,1107971040.12,0.010330594570430292
2013-03-01,indisponivel,602071733.02,19549593.900000002,0.03247053935241068
2013-04-01,Faixa1,59138454436.89,1272239537.67,0.02151289799140218
2013-04-01,Faixa2,44000245891.2,792013480.94,0.0180002057919954
2013-04-01,Faixa3,53013488430.45,749096430.91,0.014130298780333278
2013-04-01,Sem Renda,911686798.16,27040392.439999998,0.029659738952646807
2013-04-01,alta,112644450692.12,1219732893.57,0.010828166732365502
2013-04-01,indisponivel,599376909.58,19555967.53,0.03262716200346024
2013-05-01,Faixa1,63296248608.89,1331415100.17,0.021034660496183053
2013-05-01,Faixa2,45157094399.840004,859266217.1800001,0.019028377015839277
2013-05-01,Faixa3,54165306578.03,798155079.07,0.014735540690057497
2013-05-01,Sem Renda,943889944.02,24617661.35,0.02608107174566782
2013-05-01,alta,115160544213.5,1299330876.5,0.011282778189126362
2013-05-01,indisponivel,589142481.3100001,20570111.330000002,0.03491534218388207
2013-06-01,Faixa1,66523178360.5,1200677239.39,0.018049005910140574
2013-06-01,Faixa2,45897023931.74,764117328.89,0.016648515817200428
2013-06-01,Faixa3,55036255829.47,723348743.08,0.0131431314172479
2013-06-01,Sem Renda,1646700179.01,32128959.67,0.019511116886691545
2013-06-01,alta,118115894053.45999,1207725000.62,0.01022491520127999
2013-06-01,indisponivel,578550448.03,19780404.28,0.03418959288226896
2013-07-01,Faixa1,67902043641.43001,1219907495.26,0.017965696315444635
2013-07-01,Faixa2,47060209899.99,778192880.98,0.016536111560780893
2013-07-01,Faixa3,56641396393.48,742685701.83,0.013112065540733926
2013-07-01,Sem Renda,1645421149.58,30384426.76,0.018466048505427164
2013-07-01,alta,122117870366.36,1230274039.01,0.010074479970205127
2013-07-01,indisponivel,566498700.49,19972325.27,0.03525573007091577
2013-08-01,Faixa1,69141551775.20999,1271412101.93,0.018388538719286484
2013-08-01,Faixa2,48208596573.06,845154441.75,0.01753119779102407
2013-08-01,Faixa3,58386856417.17,790020022.18,0.013530785362639876
2013-08-01,Sem Renda,1630448771.0,34723043.15,0.021296617083346556
2013-08-01,alta,125999131630.51,1215702724.01,0.009648500813283575
2013-08-01,indisponivel,557094052.5699999,18965065.12,0.03404284255505852
2013-09-01,Faixa1,72223555066.42001,1420240259.5900002,0.019664502229001103
2013-09-01,Faixa2,48709393284.52,940782915.15,0.0193141990017146
2013-09-01,Faixa3,58432161460.53,881547481.0699999,0.015086682728063574
2013-09-01,Sem Renda,1599542659.84,38037941.52,0.02378051081413789
2013-09-01,alta,127277824027.78,1369998472.3400002,0.010763842663125515
2013-09-01,indisponivel,548730249.62,17314052.66,0.03155294003199225
2013-10-01,Faixa1,75939462404.06,1507510458.01,0.01985147656153809
2013-10-01,Faixa2,49289607823.01,988838673.0400001,0.02006180849705154
2013-10-01,Faixa3,58764411236.49,920178650.26,0.015658774263165108
2013-10-01,Sem Renda,1530848347.96,34585154.33,0.02259214923286685
2013-10-01,alta,125667472641.0,1462764327.8,0.01163995978481039
2013-10-01,indisponivel,540297666.88,17498678.18,0.03238710668703749
2013-11-01,Faixa1,79703666118.27,1449238481.1399999,0.018182833384219943
2013-11-01,Faixa2,49793789249.62,959129774.6,0.019262036271066065
2013-11-01,Faixa3,59520359068.68,928824898.53,0.015605162889864918
