data_base,renda,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2012-07-01,Sem Renda,1035753741.32,38210626.29,12157,85198.13616188205
2012-07-01,alta,84101030477.65,754687240.02,564590,148959.47586328132
2012-07-01,baixa,53971744983.78,835039563.49,1434707,37618.65313529522
2012-07-01,indisponivel,704547210.73,38512890.76,15039,46848.00922468249
2012-07-01,media,76142895698.48,1022234229.94,1130889,67330.12320261316
2012-08-01,Sem Renda,1117019454.15,39616866.13,12634,88413.76081605193
2012-08-01,alta,87543716705.05,751721266.64,578457,151340.05933898286
2012-08-01,baixa,53198794027.6,869983334.27,1433867,37101.62381001864
2012-08-01,indisponivel,728071299.95,40380391.31,15374,47357.31104136855
2012-08-01,media,80647873244.85,1079434704.06,1170777,68884.06011123383
2012-09-01,Sem Renda,1010802151.18,26831554.53,10864,93041.43512334315
2012-09-01,alta,89336427827.69,851630741.74,581027,153756.06955905663
2012-09-01,baixa,54725997820.63,927534454.21,1449227,37762.19862080267
2012-09-01,indisponivel,718272049.6,36641357.61,14999,47887.99583972265
2012-09-01,media,80467409253.6,1137296814.75,1160359,69346.99455392685
2012-10-01,Sem Renda,979478570.7,24108355.72,10787,90801.75866320572
2012-10-01,alta,87451967852.67,835237964.38,553325,158048.10527749514
2012-10-01,baixa,61083801192.54,966966330.29,1541028,39638.34608620998
2012-10-01,indisponivel,701238400.88,34793006.3,14536,48241.497033571824
2012-10-01,media,82198400318.63,1112917740.45,1137428,72266.90420723773
2012-11-01,Sem Renda,977047228.0699999,22806029.16,11229,87011.06314631757
2012-11-01,alta,87684388267.6,877209538.02,544369,161075.2784739763
2012-11-01,baixa,63992271898.36,1003457350.16,1564633,40899.22166946498
2012-11-01,indisponivel,692397594.35,33461454.6,14163,48887.77761420603
2012-11-01,media,84641412484.51,1163384657.91,1154228,73331.62294148988
2012-12-01,Sem Renda,1026277912.06,24246635.9,12344,83139.81789209331
2012-12-01,alta,89063577302.64,863879903.38,547729,162605.1885195781
2012-12-01,baixa,67283584931.96,957486372.54,1593926,42212.48974667582
2012-12-01,indisponivel,681077479.35,35946717.82,13843,49200.13576175684
2012-12-01,media,86748849292.85,1099989148.54,1165106,74455.75706661025
2013-01-01,Sem Renda,1042836615.57,24700421.26,11761,88669.0430720177
2013-01-01,alta,89138295747.63,856808040.3,543655,163961.14401160664
2013-01-01,baixa,70611825179.69,994941572.14,1625889,43429.67150874998
2013-01-01,indisponivel,591221680.19,19652925.56,13063,45259.25745923602
2013-01-01,media,88923464175.28,1124598082.85,1177074,75546.19690459564
2013-02-01,Sem Renda,1055184137.32,22505427.07,11921,88514.73343846994
2013-02-01,alta,89851823554.28,940043087.59,545781,164629.8122402209
2013-02-01,baixa,73205118893.45,1210897666.7,1650739,44346.876697921354
2013-02-01,indisponivel,578298399.27,18906280.41,12725,45445.846700982314
2013-02-01,media,90559465020.79,1299769501.66,1185652,76379.46464965267
2013-03-01,Sem Renda,805722001.71,22355487.18,6972,115565.40472030982
2013-03-01,alta,106843493993.02,1079247189.86,643969,165914.0331180849
2013-03-01,baixa,65443592403.57,1470309174.95,1600942,40878.1782248014
2013-03-01,indisponivel,568693949.13,17036151.28,12411,45821.76691080493
2013-03-01,media,88509432385.51,1368189163.6100001,1189938,74381.54961477824
2013-04-01,Sem Renda,794780919.75,22142979.66,6983,113816.5429972791
2013-04-01,alta,112228222865.07,1192245585.02,675048,166252.2114946937
2013-04-01,baixa,58949027222.82,1258610139.83,1486277,39662.207800309094
2013-04-01,indisponivel,559107980.63,14953921.43,12029,46480.00504031923
2013-04-01,media,96841109879.64,1534641638.18,1320844,73317.5983535073
2013-05-01,Sem Renda,830191707.87,19592105.95,7127,116485.43677143258
2013-05-01,alta,114747834329.89,1271704165.71,685049,167503.1046390696
2013-05-01,baixa,63118960706.159996,1316996873.87,1528209,41302.57098745001
2013-05-01,indisponivel,548966373.5,15586624.77,11738,46768.30580166979
2013-05-01,media,99147353288.13,1649938999.91,1340702,73951.82023158764
2013-06-01,Sem Renda,1527309937.27,28616090.7,20061,76133.2903279996
2013-06-01,alta,117706199568.76,1181931290.52,694725,169428.47827379178
2013-06-01,baixa,66337099088.84,1185850074.35,1555913,42635.48096123626
2013-06-01,indisponivel,538711889.18,15255014.68,11378,47346.799892775525
2013-06-01,media,100764334991.33,1480592232.0,1348101,74745.3899903123
2013-07-01,Sem Renda,1523325630.73,26503955.37,20226,75315.21955552259
2013-07-01,alta,121705934464.06,1197154691.78,712612,170788.49986256196
2013-07-01,baixa,67713945406.97,1197725540.35,1568940,43159.04075807233
2013-07-01,indisponivel,516824727.88,15432687.92,10732,48157.354442787924
2013-07-01,media,103510272489.95,1508941485.31,1376282,75210.07503545785
2013-08-01,Sem Renda,1510458998.96,29624688.97,18759,80519.1640791087
2013-08-01,alta,125595281901.12,1187617562.44,729158,172247.00531451346
2013-08-01,baixa,68986996946.57,1266727910.67,1581388,43624.333146938014
2013-08-01,indisponivel,506748857.9,14777957.82,10389,48777.4432476658
2013-08-01,media,106414295067.68001,1625234593.65,1404497,75766.83685880426
2013-09-01,Sem Renda,1529633616.59,35020593.2,19366,78985.52187286997
2013-09-01,alta,126861197845.3,1341566412.86,727982,174264.19588025528
2013-09-01,baixa,72048467461.54,1410705466.64,1605047,44888.69638181311
2013-09-01,indisponivel,499540359.32,13208816.62,10139,49269.194133543744
2013-09-01,media,106949448710.7,1809866874.0,1400712,76353.63208903758
2013-10-01,Sem Renda,1457162658.83,31979514.76,18430,79064.71290450353
2013-10-01,alta,125262065512.1,1433302211.9,726526,172412.36447436156
2013-10-01,baixa,75762099542.89,1498557578.66,1637545,46265.659595852325
2013-10-01,indisponivel,491306750.56,13778097.54,9797,50148.69353475554
2013-10-01,media,107875321647.57,1898834107.76,1408185,76605.93007848402
2013-11-01,Sem Renda,2846719407.17,40114680.68,27468,103637.6659083297
2013-11-01,alta,126524655814.56,1497419691.13,730342,173240.28443463473
2013-11-01,baixa,79515615108.1,1439296720.56,1669635,47624.54974176991
2013-11-01,indisponivel,482213141.58,14719691.94,9458,50984.68403256502
2013-11-01,media,109124340974.18,1877807914.73,1415499,77092.48892028889
2013-12-01,Sem Renda,3031872315.46,43439282.3,29103,104177.31214857574
2013-12-01,alta,128092481664.62,1445191525.33,732650,174834.47985343615
2013-12-01,baixa,84054144546.38,1234385490.35,1703018,49355.9930349415
2013-12-01,indisponivel,474570061.64,14107715.3,9185,51667.943564507346
2013-12-01,media,110072321607.47,1633972978.53,1416888,77685.9720792822
2014-01-01,Sem Renda,1070382616.09,28595092.98,15349,69736.30960257998
2014-01-01,alta,130542884267.32,1553330476.25,741553,176039.8572554086
2014-01-01,baixa,88080372787.88,1339012165.51,1733531,50809.80541327499
2014-01-01,indisponivel,466432204.61,14160674.64,8959,52062.976293113075
2014-01-01,media,111877305398.7,1766263516.89,1427349,78381.1845587169
2014-02-01,Sem Renda,6856660934.4800005,152375614.14,109290,62738.22796669412
2014-02-01,alta,127449985349.64,1376756618.98,705331,180695.28398672395
2014-02-01,baixa,82371332336.72,1719567281.55,1677438,49105.44075949156
2014-02-01,indisponivel,451955654.44,12941688.34,8644,52285.47598796853
2014-02-01,media,121717805619.34,1914650311.07,1468345,82894.55517561609
2014-03-01,Sem Renda,329292784.06,14569929.42,2893,113823.98342896647
2014-03-01,alta,129013131954.92,1446243555.95,717001,179934.38217648232
2014-03-01,baixa,94057335808.02,1914012866.38,1817781,51742.94142584833
2014-03-01,indisponivel,445944729.97,12242040.09,8308,53676.54429104478
2014-03-01,media,121029807248.22,1901521271.33,1463177,82717.13350347907
2014-04-01,Sem Renda,310375371.15,12729934.370000001,2807,110571.91704666903
2014-04-01,alta,129742625944.05,1586536719.03,717018,180947.51588391088
2014-04-01,baixa,98259736277.07,2212592647.37,1853456,53014.33445254163
2014-04-01,indisponivel,438730988.31,15732071.56,8042,54554.95999875653
2014-04-01,media,122820139381.19,2181222474.39,1473375,83359.72809447018
2014-05-01,Sem Renda,309728883.95,15308370.37,2754,112465.0994734931
2014-05-01,alta,135780491163.79001,1562158271.06,740943,183253.6256686277
2014-05-01,baixa,96726365179.46,2269008493.09,1845660,52407.46680291062
2014-05-01,indisponivel,432986057.85,16463918.0,7753,55847.55034825229
2014-05-01,media,126763534218.38,2072878931.64,1511014,83893.02429916599
2014-06-01,Sem Renda,313562042.48,19711419.69,2709,115748.26226651901
2014-06-01,alta,138490397819.48,1500772655.44,753468,183803.95427474027
2014-06-01,baixa,99724303492.77,1974579889.8899999,1874789,53192.28110084389
2014-06-01,indisponivel,425815397.21,13889108.51,7490,56851.18787850467
2014-06-01,media,128907301727.17,1880861221.23,1528164,84354.36362011539
2014-07-01,Sem Renda,335326131.22,16772393.78,2760,121494.97507971016
2014-07-01,alta,145110879915.42,1623129189.0,789384,183827.99742003894
2014-07-01,baixa,97670803962.75,2011698793.97,1846650,52890.8044094712
2014-07-01,indisponivel,418248959.28,12176525.19,7201,58082.06627968337
2014-07-01,media,132568797130.90001,2021056538.67,1571694,84347.71471476
2014-08-01,Sem Renda,14836651088.64,321044990.77,210546,70467.50395941979
2014-08-01,alta,147611614648.7,1669742147.37,784628,188129.4252164083
2014-08-01,baixa,89674284517.06,1821889259.98,1705873,52567.97224474506
2014-08-01,indisponivel,412003806.45,10799047.01,6981,59017.878018908465
2014-08-01,media,134104249319.34,2040267217.49,1566560,85604.28538922225
2014-09-01,Sem Renda,392115615.3,15942374.879999999,3229,121435.61947971508
2014-09-01,alta,149993415500.75,1508893952.82,789686,189940.57828143085
2014-09-01,baixa,106166466442.22,2203944146.85,1927538,55078.792969176226
2014-09-01,indisponivel,406795194.67,12018008.09,6750,60265.954765925926
2014-09-01,media,135500337478.94,1982708523.92,1571772,86208.64697865848
2014-10-01,Sem Renda,356684686.71999997,14866394.45,3161,112839.1922556153
2014-10-01,alta,152588496831.24,1705950351.99,797833,191253.67944324188
2014-10-01,baixa,110618634704.33,2588978141.96,1965887,56269.070757541
2014-10-01,indisponivel,401467919.41,11465357.44,6520,61574.83426533743
2014-10-01,media,137700740124.89,2333010216.66,1583785,86944.08655523951
2014-11-01,Sem Renda,379984731.01,19286549.44,3337,113870.16212466286
2014-11-01,alta,155074701919.24,1723893004.43,806122,192371.25635975695
2014-11-01,baixa,114738256316.41,2489030744.81,2003181,57278.02745553697
2014-11-01,indisponivel,396731324.12,11087712.67,6352,62457.70215994962
2014-11-01,media,139301738799.28,2245418190.3,1591922,87505.37953447468
2014-12-01,Sem Renda,385309320.45,18586377.94,3330,115708.50463963964
2014-12-01,alta,156802677644.77,1529952315.91,811454,193236.6808774989
2014-12-01,baixa,119715842988.62,2042078553.71,2045604,58523.46934627621
2014-12-01,indisponivel,390781779.82,9269714.94,6153,63510.77195189338
2014-12-01,media,141094304737.79,1870725191.99,1600731,88143.66982196884
2015-01-01,Sem Renda,963018414.34,22895299.71,5496,175221.69110989812
2015-01-01,alta,156119000659.44,1820486237.24,802489,194543.47743014546
2015-01-01,baixa,125051083864.31,2415519534.64,2092808,59752.77419825899
