data_base,sr,carteira_ativa
2017-01-01,S1,519741568556.91
2017-01-01,S2,4157759449.66
2017-01-01,S3,3588545997.92
2017-01-01,S4,829992323.4
2017-02-01,S1,523289058823.91
2017-02-01,S2,4155290367.07
2017-02-01,S3,2849863247.69
2017-02-01,S4,1571916633.08
2017-03-01,S1,525809673922.29
2017-03-01,S2,4148332904.44
2017-03-01,S3,2947427862.81
2017-03-01,S4,1571673995.42
2017-04-01,S1,528950330690.3
2017-04-01,S2,4148108897.9
2017-04-01,S3,2949946031.92
2017-04-01,S4,1595186379.3
2017-05-01,S1,531956848335.28
2017-05-01,S2,4141600578.58
2017-05-01,S3,2932461543.71
2017-05-01,S4,1599680910.78
2017-06-01,S1,535863757681.8
2017-06-01,S2,4165561405.83
2017-06-01,S3,2924757645.43
2017-06-01,S4,1594582978.36
2017-07-01,S1,539795790067.34
2017-07-01,S2,4174148276.38
2017-07-01,S3,2915201128.79
2017-07-01,S4,1594326470.92
2017-08-01,S1,543368618990.68
2017-08-01,S2,4173857879.33
2017-08-01,S3,2901486474.33
2017-08-01,S4,1583227476.23
2017-09-01,S1,545629124643.24
2017-09-01,S2,4182985426.39
2017-09-01,S3,2914213010.02
2017-09-01,S4,1593227233.11
2017-10-01,S1,548192395401.99
2017-10-01,S2,3132660404.16
2017-10-01,S3,2905241867.62
2017-10-01,S4,1616814238.78
2017-11-01,S1,550579935843.24
2017-11-01,S2,3142211287.36
2017-11-01,S3,2896011635.7
2017-11-01,S4,1626639730.0
2017-12-01,S1,552381770562.05
2017-12-01,S2,3159010456.16
2017-12-01,S3,2897017665.4
2017-12-01,S4,1621021362.19
2017-12-01,S5,1112897.19
2018-01-01,S1,554559326228.92
2018-01-01,S2,3182629155.48
2018-01-01,S3,2896461047.57
2018-01-01,S4,1629935606.92
2018-01-01,S5,2829626.56
2018-02-01,S1,556346401437.64
2018-02-01,S2,3189205978.7
2018-02-01,S3,2956310199.39
2018-02-01,S4,1633147937.85
2018-02-01,S5,5837937.02
2018-03-01,S1,558819814600.99
2018-03-01,S2,3216411600.69
2018-03-01,S3,3058458099.4
2018-03-01,S4,1639240509.5
2018-03-01,S5,8821478.38
2018-04-01,S1,561332399114.68
2018-04-01,S2,3228084692.79
2018-04-01,S3,3053339215.21
2018-04-01,S4,1644752899.39
2018-04-01,S5,11951341.0
2018-05-01,S1,564282161003.9
2018-05-01,S2,3246346918.5099998
2018-05-01,S3,3046773897.1
2018-05-01,S4,1643057598.29
2018-05-01,S5,25081819.69
2018-06-01,S1,567621355701.55
2018-06-01,S2,3265407659.1800003
2018-06-01,S3,3041728738.93
2018-06-01,S4,1672866344.33
2018-06-01,S5,38614876.05
2018-07-01,S1,570486376037.01
2018-07-01,S2,3289817109.31
2018-07-01,S3,3019306535.79
2018-07-01,S4,1681736152.73
2018-07-01,S5,48021171.27
2018-08-01,S1,574117208798.59
2018-08-01,S2,3265234084.84
2018-08-01,S3,2994488247.32
2018-08-01,S4,1707094853.94
2018-08-01,S5,56443363.26
2018-12-01,S1,587767875963.76
2018-12-01,S2,3349904200.45
2018-12-01,S3,3061147309.66
2018-12-01,S4,1749689477.86
2018-12-01,S5,90368751.53
2019-01-01,S1,587147460608.45
2019-01-01,S2,3370362152.6
2019-01-01,S3,3068047024.47
2019-01-01,S4,1722590303.83
2019-01-01,S5,93635326.26
2019-02-01,S1,590859616267.06
2019-02-01,S2,3390654031.69
2019-02-01,S3,3093352100.84
2019-02-01,S4,1730206340.49
2019-02-01,S5,97258091.3
2019-03-01,S1,594356138048.74
2019-03-01,S2,3406892878.08
2019-03-01,S3,3110780885.49
2019-03-01,S4,1750961958.09
2019-03-01,S5,101605718.25
2019-04-01,S1,596532514241.12
2019-04-01,S2,3416200689.52
2019-04-01,S3,3117492103.2400002
2019-04-01,S4,1761840121.05
2019-04-01,S5,111373447.81
2019-05-01,S1,599263253013.78
2019-05-01,S2,3429545667.2799997
2019-05-01,S3,3130149848.54
2019-05-01,S4,1779620464.52
2019-05-01,S5,118342233.3
2019-06-01,S1,602657742538.76
2019-06-01,S2,3444945192.52
2019-06-01,S3,3148851215.37
2019-06-01,S4,1773854483.04
2019-06-01,S5,129854635.03
2019-07-01,S1,606350503664.33
2019-07-01,S2,3460505008.84
2019-07-01,S3,3175486509.55
2019-07-01,S4,1777698109.71
2019-07-01,S5,137826805.85
2019-08-01,S1,607795951013.6
2019-08-01,S2,3469429556.06
2019-08-01,S3,3193355443.51
2019-08-01,S4,1752038685.71
2019-08-01,S5,145696845.86
2019-09-01,S1,613282273643.45
2019-09-01,S2,3477733968.5699997
2019-09-01,S3,3786242000.19
2019-09-01,S4,1757629380.26
2019-09-01,S5,155580083.18
2019-10-01,S1,617325866114.38
2019-10-01,S2,3484384243.51
2019-10-01,S3,3805773772.71
2019-10-01,S4,1745388129.5
2019-10-01,S5,164491340.32
2019-11-01,S1,623297528529.89
2019-11-01,S2,3497765929.4900002
2019-11-01,S3,3840971212.09
2019-11-01,S4,1773565883.96
2019-11-01,S5,172806230.34
2019-12-01,S1,626957021608.64
2019-12-01,S2,3508246474.96
2019-12-01,S3,3867374769.46
2019-12-01,S4,1789398099.41
2019-12-01,S5,187257143.21
2020-01-01,S1,628699336756.18
2020-01-01,S2,3510428679.9900002
2020-01-01,S3,3898390287.7400002
2020-01-01,S4,1843887275.48
2020-01-01,S5,195838720.85999998
2020-02-01,S1,631773567347.55
2020-02-01,S2,3511981249.93
2020-02-01,S3,3965855900.74
2020-02-01,S4,1897672083.62
2020-02-01,S5,204105307.18
2020-03-01,S1,635836426411.18
2020-03-01,S2,3525583304.58
2020-03-01,S3,4074332609.72
2020-03-01,S4,1918865959.56
2020-03-01,S5,213800237.19
2020-04-01,S1,642057016410.58
2020-04-01,S2,3529968744.41
2020-04-01,S3,4145142912.64
2020-04-01,S4,2023615392.26
2020-04-01,S5,215205312.93
2020-05-01,S1,648188142800.35
2020-05-01,S2,3534490383.51
2020-05-01,S3,4214111241.5
2020-05-01,S4,2080158241.25
2020-05-01,S5,222151933.14
2020-06-01,S1,654565596918.11
2020-06-01,S2,3534528224.13
2020-06-01,S3,4388057189.92
2020-06-01,S4,2146545614.78
2020-06-01,S5,240228825.44
2020-07-01,S1,661514019375.78
2020-07-01,S2,3530721404.79
2020-07-01,S3,4456172548.47
2020-07-01,S4,2211541383.5099998
2020-07-01,S5,250121764.21
2020-08-01,S1,669351789091.52
2020-08-01,S2,3535127707.5299997
2020-08-01,S3,4613381872.81
2020-08-01,S4,2315411265.25
2020-08-01,S5,275724939.42
2020-09-01,S1,676801610211.48
2020-09-01,S2,3545304793.38
2020-09-01,S3,4737365132.2300005
2020-09-01,S4,2387898542.94
2020-09-01,S5,311238554.68
2020-10-01,S1,684858333841.07
2020-10-01,S2,3562383733.53
2020-10-01,S3,4925679882.82
2020-10-01,S4,2489995432.92
2020-10-01,S5,343352281.87
2020-11-01,S1,692689408347.73
2020-11-01,S2,3587812971.07
2020-11-01,S3,5116479728.16
2020-11-01,S4,2611852963.83
2020-11-01,S5,381680184.94
2020-12-01,S1,700989805261.87
2020-12-01,S2,3603962638.66
2020-12-01,S3,5372940601.16
2020-12-01,S4,2775590880.73
2020-12-01,S5,422102421.71
2021-01-01,S1,706351270078.15
2021-01-01,S2,3604992831.15
2021-01-01,S3,7671505251.21
2021-01-01,S4,705570933.9
2021-01-01,S5,458189745.8
2021-02-01,S1,713189023556.6901
2021-02-01,S2,3621211618.43
2021-02-01,S3,8054071981.92
2021-02-01,S4,793234188.98
2021-02-01,S5,485738167.4
2021-03-01,S1,722017905499.11
2021-03-01,S2,3629994548.7
2021-03-01,S3,8461628602.76
2021-03-01,S4,711922673.43
2021-03-01,S5,516167700.1
2021-04-01,S1,730302795975.37
2021-04-01,S2,3638709375.84
2021-04-01,S3,8805251559.28
2021-04-01,S4,699191954.22
2021-04-01,S5,567512383.65
2021-05-01,S1,739517522427.54
2021-05-01,S2,3652841473.56
2021-05-01,S3,9161466414.21
2021-05-01,S4,711351990.98
2021-05-01,S5,616523661.58
2021-06-01,S1,748441794987.2
2021-06-01,S2,3689998380.76
2021-06-01,S3,9575174752.44
2021-06-01,S4,727332842.6999999
2021-06-01,S5,655322223.09
2021-07-01,S1,757170039747.98
2021-07-01,S2,3733620010.31
2021-07-01,S3,10769769215.22
2021-07-01,S4,739691922.3
2021-07-01,S5,676099243.48
2021-08-01,S1,767712937608.4
2021-08-01,S2,3794448433.06
2021-08-01,S3,11250140218.99
2021-08-01,S4,777371275.92
2021-08-01,S5,688557142.1
2021-09-01,S1,776750683310.6
2021-09-01,S2,3868228802.92
2021-09-01,S3,11814091228.82
2021-09-01,S4,804550542.87
2021-09-01,S5,712338692.92
2021-10-01,S1,785345532962.03
2021-10-01,S2,3996282990.41
2021-10-01,S3,12265336975.01
2021-10-01,S4,828144097.92
2021-10-01,S5,735176326.61
2021-11-01,S1,793993982436.37
2021-11-01,S2,4136043660.33
2021-11-01,S3,12607405056.26
2021-11-01,S4,855877901.6
2021-11-01,S5,745721914.86
2022-01-01,S1,808873987193.98
2022-01-01,S2,4481226991.86
2022-01-01,S3,13216566826.7
2022-01-01,S4,924251433.82
2022-01-01,S5,772811685.5
2022-02-01,S1,815033592488.83
2022-02-01,S2,4643435621.03
2022-02-01,S3,13408518382.52
2022-02-01,S4,942274155.19
2022-02-01,S5,781667076.35
2022-03-01,S1,820923343672.32
2022-03-01,S2,4792890585.21
2022-03-01,S3,14393752517.12
2022-03-01,S4,969530656.88
2022-03-01,S5,787789961.73
