data_base,faixa,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2012-07-01,Faixa1,53971744983.78,835039563.49,1434707,37618.65313529522
2012-07-01,Faixa2,34783369546.39,490426833.38,610668,56959.541921944496
2012-07-01,Faixa3,41359526152.090004,531807396.56,520221,79503.76119397333
2012-07-01,Sem Renda,1035753741.32,38210626.29,12157,85198.13616188205
2012-07-01,alta,84101030477.65,754687240.02,564590,148959.47586328132
2012-07-01,indisponivel,704547210.73,38512890.76,15039,46848.00922468249
2012-08-01,Faixa1,53198794027.6,869983334.27,1433867,37101.62381001864
2012-08-01,Faixa2,37029748363.63,536315273.64,633623,58441.29452944416
2012-08-01,Faixa3,43618124881.22,543119430.42,537154,81202.27138068412
2012-08-01,Sem Renda,1117019454.15,39616866.13,12634,88413.76081605193
2012-08-01,alta,87543716705.05,751721266.64,578457,151340.05933898286
2012-08-01,indisponivel,728071299.95,40380391.31,15374,47357.31104136855
2012-09-01,Faixa1,54725997820.63,927534454.21,1449227,37762.19862080267
2012-09-01,Faixa2,37289485852.05,550567318.85,632208,58982.93892524296
2012-09-01,Faixa3,43177923401.55,586729495.9,528151,81752.98996224566
2012-09-01,Sem Renda,1010802151.18,26831554.53,10864,93041.43512334315
2012-09-01,alta,89336427827.69,851630741.74,581027,153756.06955905663
2012-09-01,indisponivel,718272049.6,36641357.61,14999,47887.99583972265
2012-10-01,Faixa1,61083801192.54,966966330.29,1541028,39638.34608620998
2012-10-01,Faixa2,37904161199.49,535423105.03,620771,61059.81303812517
2012-10-01,Faixa3,44294239119.14,577494635.42,516657,85732.38941723426
2012-10-01,Sem Renda,979478570.7,24108355.72,10787,90801.75866320572
2012-10-01,alta,87451967852.67,835237964.38,553325,158048.10527749514
2012-10-01,indisponivel,701238400.88,34793006.3,14536,48241.497033571824
2012-11-01,Faixa1,63992271898.36,1003457350.16,1564633,40899.22166946498
2012-11-01,Faixa2,38968485993.03,562443728.98,627933,62058.35016320212
2012-11-01,Faixa3,45672926491.48,600940928.93,526295,86781.98822234679
2012-11-01,Sem Renda,977047228.0699999,22806029.16,11229,87011.06314631757
2012-11-01,alta,87684388267.6,877209538.02,544369,161075.2784739763
2012-11-01,indisponivel,692397594.35,33461454.6,14163,48887.77761420603
2012-12-01,Faixa1,67283584931.96,957486372.54,1593926,42212.48974667582
2012-12-01,Faixa2,39958618692.77,538398745.01,633147,63111.123787635406
2012-12-01,Faixa3,46790230600.08,561590403.53,531959,87958.34002259573
2012-12-01,Sem Renda,1026277912.06,24246635.9,12344,83139.81789209331
2012-12-01,alta,89063577302.64,863879903.38,547729,162605.1885195781
2012-12-01,indisponivel,681077479.35,35946717.82,13843,49200.13576175684
2013-01-01,Faixa1,70611825179.69,994941572.14,1625889,43429.67150874998
2013-01-01,Faixa2,40983037647.77,554809584.31,639646,64071.43583758829
2013-01-01,Faixa3,47940426527.51,569788498.54,537428,89203.44032597855
2013-01-01,Sem Renda,1042836615.57,24700421.26,11761,88669.0430720177
2013-01-01,alta,89138295747.63,856808040.3,543655,163961.14401160664
2013-01-01,indisponivel,591221680.19,19652925.56,13063,45259.25745923602
2013-02-01,Faixa1,73205118893.45,1210897666.7,1650739,44346.876697921354
2013-02-01,Faixa2,41886214590.2,651137662.85,645499,64889.666119079964
2013-02-01,Faixa3,48673250430.590004,648631838.81,540153,90110.11774550915
2013-02-01,Sem Renda,1055184137.32,22505427.07,11921,88514.73343846994
2013-02-01,alta,89851823554.28,940043087.59,545781,164629.8122402209
2013-02-01,indisponivel,578298399.27,18906280.41,12725,45445.846700982314
2013-03-01,Faixa1,65443592403.57,1470309174.95,1600942,40878.1782248014
2013-03-01,Faixa2,39170220753.78,678399170.26,626230,62549.25626970921
2013-03-01,Faixa3,49339211631.729996,689789993.35,563708,87526.18666353857
2013-03-01,Sem Renda,805722001.71,22355487.18,6972,115565.40472030982
2013-03-01,alta,106843493993.02,1079247189.86,643969,165914.0331180849
2013-03-01,indisponivel,568693949.13,17036151.28,12411,45821.76691080493
2013-04-01,Faixa1,58949027222.82,1258610139.83,1486277,39662.207800309094
2013-04-01,Faixa2,43928958557.48,788956515.38,713205,61593.733298953324
2013-04-01,Faixa3,52912151322.159996,745685122.8,607639,87078.26739587156
2013-04-01,Sem Renda,794780919.75,22142979.66,6983,113816.5429972791
2013-04-01,alta,112228222865.07,1192245585.02,675048,166252.2114946937
2013-04-01,indisponivel,559107980.63,14953921.43,12029,46480.00504031923
2013-05-01,Faixa1,63118960706.159996,1316996873.87,1528209,41302.57098745001
2013-05-01,Faixa2,45084913660.68,855760456.96,724797,62203.50478917545
2013-05-01,Faixa3,54062439627.45,794178542.95,615905,87777.23776791875
2013-05-01,Sem Renda,830191707.87,19592105.95,7127,116485.43677143258
2013-05-01,alta,114747834329.89,1271704165.71,685049,167503.1046390696
2013-05-01,indisponivel,548966373.5,15586624.77,11738,46768.30580166979
2013-06-01,Faixa1,66337099088.84,1185850074.35,1555913,42635.48096123626
2013-06-01,Faixa2,45828312885.96,760792093.09,728992,62865.3166097296
2013-06-01,Faixa3,54936022105.37,719800138.91,619109,88734.0066214027
2013-06-01,Sem Renda,1527309937.27,28616090.7,20061,76133.2903279996
2013-06-01,alta,117706199568.76,1181931290.52,694725,169428.47827379178
2013-06-01,indisponivel,538711889.18,15255014.68,11378,47346.799892775525
2013-07-01,Faixa1,67713945406.97,1197725540.35,1568940,43159.04075807233
2013-07-01,Faixa2,46983456137.78,773255439.9,742784,63253.18819169503
2013-07-01,Faixa3,56526816352.17,735686045.41,633498,89229.66821074414
2013-07-01,Sem Renda,1523325630.73,26503955.37,20226,75315.21955552259
2013-07-01,alta,121705934464.06,1197154691.78,712612,170788.49986256196
2013-07-01,indisponivel,516824727.88,15432687.92,10732,48157.354442787924
2013-08-01,Faixa1,68986996946.57,1266727910.67,1581388,43624.333146938014
2013-08-01,Faixa2,48133232785.79,840964016.91,756080,63661.56066261507
2013-08-01,Faixa3,58281062281.89,784270576.74,648417,89882.07015221685
2013-08-01,Sem Renda,1510458998.96,29624688.97,18759,80519.1640791087
2013-08-01,alta,125595281901.12,1187617562.44,729158,172247.00531451346
