data_base,ocupacao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2012-07-01,PF - Aposentado/pensionista,3675046499.52,42871711.74,68086,53976.537019651616
2012-07-01,PF - Autônomo,16801940271.71,252539427.85999998,189722,88560.84308467126
2012-07-01,PF - Empregado de empresa privada,52438612700.79,536368980.14,705721,74305.0195485043
2012-07-01,PF - Empregado de entidades sem fins lucrativos,258479177.41,2581441.83,3058,84525.564882276
2012-07-01,PF - Empresário,30155553085.98,437804661.67,282695,106671.68887309644
2012-07-01,PF - Outros,75359313481.73,1144655887.92,1440253,52323.663607525894
2012-07-01,PF - Servidor ou empregado público,37267026894.82,271862439.34,467847,79656.44087665412
2012-08-01,PF - Aposentado/pensionista,3764772973.63,43222871.95,68386,55051.80846415933
2012-08-01,PF - Autônomo,17382485210.87,251451622.43,192573,90264.39433809515
2012-08-01,PF - Empregado de empresa privada,53858858665.7,547365375.6,713116,75526.08364655961
2012-08-01,PF - Empregado de entidades sem fins lucrativos,276887194.19,3171876.32,3218,86043.25487569919
2012-08-01,PF - Empresário,31131945624.64,440582487.7,287270,108371.72564012949
2012-08-01,PF - Outros,78528145365.16,1228258227.8,1473600,53290.000926411514
2012-08-01,PF - Servidor ou empregado público,38292379697.41,267084100.61,472946,80965.64871551933
2012-09-01,PF - Aposentado/pensionista,3733912053.99,43485661.6,67313,55470.890526198506
2012-09-01,PF - Autônomo,17611288366.66,277616362.34,192307,91579.02919113709
2012-09-01,PF - Empregado de empresa privada,54245545269.3,582318234.63,709098,76499.36295025512
2012-09-01,PF - Empregado de entidades sem fins lucrativos,277227296.41,3247148.7,3178,87233.258782253
2012-09-01,PF - Empresário,31578862685.24,491184696.62,286997,110032.03059697489
2012-09-01,PF - Outros,80460353020.14,1298756640.32,1489544,54016.768232519484
2012-09-01,PF - Servidor ou empregado público,38351720410.96,283326178.63,468039,81941.29209523137
2012-10-01,PF - Aposentado/pensionista,3769922216.52,42251989.4,67181,56115.89908634882
2012-10-01,PF - Autônomo,18060269140.9,275968335.88,194348,92927.47618138598
2012-10-01,PF - Empregado de empresa privada,55427966577.04,585903644.22,715157,77504.61308082001
2012-10-01,PF - Empregado de entidades sem fins lucrativos,284054383.71,3384854.89,3219,88243.05178937558
2012-10-01,PF - Empresário,32416235985.62,493877288.27,290444,111609.24648338405
2012-10-01,PF - Outros,83255648631.56,1283668222.64,1514633,54967.53908805631
2012-10-01,PF - Servidor ou empregado público,39200789400.07,288969061.84,472122,83031.05849773998
2012-11-01,PF - Aposentado/pensionista,3806457267.57,44110065.49,67045,56774.66280214782
2012-11-01,PF - Autônomo,18450026436.51,279377184.38,195689,94282.3890791511
2012-11-01,PF - Empregado de empresa privada,56485861046.36,620701844.07,719680,78487.46810576924
2012-11-01,PF - Empregado de entidades sem fins lucrativos,295292947.55,3075495.5300000003,3293,89672.9266778014
2012-11-01,PF - Empresário,33150560790.08,508027189.8,293132,113090.89689996316
2012-11-01,PF - Outros,85857472811.19,1350061726.99,1534851,55938.63691732292
2012-11-01,PF - Servidor ou empregado público,39941846173.63,294965523.59,474932,84100.13680617436
2012-12-01,PF - Aposentado/pensionista,3857284082.9900002,43607610.53,66939,57623.86774511122
2012-12-01,PF - Autônomo,18958210040.52,269488346.05,197994,95751.43711688233
2012-12-01,PF - Empregado de empresa privada,57804012853.58,577429492.08,726025,79617.11077935333
2012-12-01,PF - Empregado de entidades sem fins lucrativos,296727692.98,3022781.18,3276,90576.21885836386
2012-12-01,PF - Empresário,34006732356.8,500294570.95,296935,114525.84692542139
2012-12-01,PF - Outros,88857550058.93001,1310129594.21,1561581,56902.29969430341
2012-12-01,PF - Servidor ou empregado público,41022849833.06,277576383.18,480198,85429.03101024994
2013-01-01,PF - Aposentado/pensionista,3883773913.61,40193768.44,66857,58090.759585533306
2013-01-01,PF - Autônomo,19367806504.04,274957995.63,199701,96984.02363553512
2013-01-01,PF - Empregado de empresa privada,58790671766.0,574439980.52,731015,80423.34530207998
