data_base,regiao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2012-07-01,centro-oeste,22289309815.46,341212040.65,314478,70877.16729138445
2012-07-01,nordeste,27480149667.57,430813273.92,481423,57081.09015890391
2012-07-01,norte,5529894528.05,72512730.04,76582,72208.8026958032
2012-07-01,sudeste,119044375592.36,1420729334.91,1591168,74815.71750585733
2012-07-01,sul,41612242508.52,423417170.98,693731,59983.253607695195
2012-08-01,centro-oeste,23173207390.22,351946629.29,321738,72025.08684152945
2012-08-01,nordeste,28621934578.55,445885086.18,490588,58342.100863759406
2012-08-01,norte,5830091809.15,77302753.16,78554,74217.63130012475
2012-08-01,sudeste,122718757781.28,1467121690.88,1615672,75955.24201773627
2012-08-01,sul,42891483172.4,438880402.9,704557,60877.23657901348
2012-09-01,centro-oeste,23522949529.5,359915980.69,323011,72823.98905764818
2012-09-01,nordeste,29090502830.89,504611960.68,492334,59086.92641761487
2012-09-01,norte,5955182854.32,80018542.66,78956,75424.06978975632
2012-09-01,sudeste,124238946381.99,1543813616.71,1615201,76918.56702787455
2012-09-01,sul,43451327506.0,491574822.1,706974,61460.9978669654
2012-10-01,centro-oeste,24206109362.09,358366996.98,328434,73701.59411659572
2012-10-01,nordeste,29961264357.98,524310725.53,498594,60091.50603091894
2012-10-01,norte,6145313777.86,82883505.68,80213,76612.44159749665
2012-10-01,sudeste,127509405066.58,1526445830.77,1634959,77989.3594069209
2012-10-01,sul,44592793770.91,482016338.18,714904,62375.91868406108
2012-11-01,centro-oeste,24840411669.86,381680308.15,332710,74660.85080057709
2012-11-01,nordeste,30675941584.75,527550661.91,500224,61324.40983389442
2012-11-01,norte,6350863131.82,90075247.53,81636,77794.88377456024
2012-11-01,sudeste,130451017207.53,1612853673.69,1651840,78973.15551598823
2012-11-01,sul,45669283878.93,488159138.57,722212,63235.2880856729
2012-12-01,centro-oeste,25584556697.26,370777385.14,338191,75651.20508014702
2012-12-01,nordeste,31995879257.87,468991099.1,508356,62939.906793408554
2012-12-01,norte,6616014248.29,93886464.01,83410,79319.19731794749
2012-12-01,sudeste,133818785939.12,1592544363.57,1672716,80000.90029575852
2012-12-01,sul,46788130776.32,455349466.36,730275,64069.19417523536
2013-01-01,centro-oeste,26229730206.43,387696373.06,343675,76321.32161614898
2013-01-01,nordeste,32838015573.87,483896584.11,514600,63812.70029900894
2013-01-01,norte,6854056121.4,94676228.57000001,84639,80979.88068620847
2013-01-01,sudeste,136591986281.31,1601878273.03,1690026,80822.41709968368
2013-01-01,sul,47793855215.35,452553583.34,738502,64717.2996354106
2013-02-01,centro-oeste,26810056328.75,441412212.85,348288,76976.68690494649
2013-02-01,nordeste,33573262729.77,592487748.66,521470,64381.963928452264
2013-02-01,norte,7055157141.27,119698055.92,86104,81937.62358624455
2013-02-01,sudeste,139090144556.93,1814542803.15,1705299,81563.49388402268
2013-02-01,sul,48721269248.39,523981142.84999996,745657,65340.0548085648
2013-03-01,centro-oeste,27514731571.83,484559825.29,353956,77734.89239292455
2013-03-01,nordeste,34534479663.8,712562138.28,529775,65187.06934793073
2013-03-01,norte,7307175927.27,142351315.69,88043,82995.53544597527
2013-03-01,sudeste,142743861144.79,2004559434.34,1726055,82699.48590559977
2013-03-01,sul,50070686425.25,613104453.28,756403,66195.77979628585
2013-04-01,centro-oeste,28349374417.68,482060990.97,359628,78829.71964830325
2013-04-01,nordeste,35537947578.15,719229602.64,537460,66122.03248269639
2013-04-01,norte,7607271479.35,157239264.09,89792,84721.0383926185
2013-04-01,sudeste,146458629115.92,2051908861.78,1747430,83813.73166073606
2013-04-01,sul,51419026276.81,612155544.64,766871,67050.42474785198
2013-05-01,centro-oeste,29437598452.99,497843954.95,368701,79841.38489722024
2013-05-01,nordeste,36791574144.28,752897394.81,549270,66982.67544974238
2013-05-01,norte,7920819676.58,171880786.41,92014,86082.76649835895
2013-05-01,sudeste,151187288896.13,2230664756.02,1781293,84875.0255551052
2013-05-01,sul,53056025235.57,620531878.02,781547,67885.90479596237
2013-06-01,centro-oeste,30416021822.15,469313575.45,375947,80905.07923231201
2013-06-01,nordeste,37980769328.35,682291754.23,559658,67864.24803781952
2013-06-01,norte,8208605637.57,162214455.76,93955,87367.41671619393
2013-06-01,sudeste,155602951518.53,2022446711.86,1806082,86154.97608554318
2013-06-01,sul,54665307168.78,555978204.95,794536,68801.54853748603
2013-07-01,centro-oeste,31486956912.23,468117182.44,384737,81840.21009736521
2013-07-01,nordeste,39236969709.82,677123323.63,571164,68696.50347329314
2013-07-01,norte,8531248010.53,167458187.98,96318,88573.76617589651
2013-07-01,sudeste,159614879697.21,2060579752.31,1829899,87226.05985205194
2013-07-01,sul,56100248389.8,572479914.37,806674,69545.13023823751
2013-08-01,centro-oeste,32475883961.89,480827302.12,392234,82797.21789006052
2013-08-01,nordeste,40394450118.95,715832554.52,580936,69533.39114627083
2013-08-01,norte,8815267876.56,186059242.85999998,98526,89471.48850618111
2013-08-01,sudeste,163838057559.29,2126525635.17,1854067,88366.84842526726
2013-08-01,sul,57490122255.54,614737978.88,818428,70244.5691686257
2013-09-01,centro-oeste,33186952432.06,548911852.66,396568,83685.40182783281
2013-09-01,nordeste,41321732519.9,843966020.93,588164,70255.46024561177
2013-09-01,norte,9099787175.51,209458580.15,100836,90243.4366249157
2013-09-01,sudeste,165945335426.34,2325802381.63,1854475,89483.72743031855
2013-09-01,sul,58334480439.64,682229327.95,823203,70862.81323032107
2013-10-01,centro-oeste,33824207308.61,611953984.31,402096,84119.73088170486
2013-10-01,nordeste,42094318396.78,913448962.66,595322,70708.48783814473
2013-10-01,norte,9320422157.03,235502438.23,102457,90969.11052470794
2013-10-01,sudeste,166170763828.13,2398824906.75,1867604,88975.37370241765
2013-10-01,sul,59438244421.4,716721218.67,833004,71354.09244301348
2013-11-01,centro-oeste,34647642869.83,630344222.88,408092,84901.54884151123
2013-11-01,nordeste,43205797252.32,871091801.23,605835,71316.11288935106
2013-11-01,norte,9580666058.21,238499635.6,104238,91911.4531956676
2013-11-01,sudeste,170219279853.3,2419657547.22,1890621,90033.52858838445
2013-11-01,sul,60840158411.93,709765492.11,843616,72118.30786984837
2013-12-01,centro-oeste,35471071684.02,563035831.53,413835,85713.07812055529
2013-12-01,nordeste,44299834654.64,755583747.08,613297,72232.27026161876
2013-12-01,norte,9844267842.11,214082722.8,105759,93082.08135581842
2013-12-01,sudeste,173888668676.79,2212527876.31,1906263,91219.66311930201
2013-12-01,sul,62221547338.01,625866814.09,851690,73056.5667531731
2014-01-01,centro-oeste,36158320346.32,615097233.22,418460,86408.06850432538
2014-01-01,nordeste,45255858266.41,801401218.84,620120,72979.19477909115
