data_base,regime,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2012-07-01,Aposentado,3675046499.52,42871711.74,68086,53976.537019651616
2012-07-01,Empresa_Privada,52697091878.2,538950421.97,708779,74349.11570207356
2012-07-01,Empresario,30155553085.98,437804661.67,282695,106671.68887309644
2012-07-01,Setor_Publico,37267026894.82,271862439.34,467847,79656.44087665412
2012-07-01,outro,92161253753.44,1397195315.78,1629975,56541.51367563306
2012-08-01,Aposentado,3764772973.63,43222871.95,68386,55051.80846415933
2012-08-01,Empresa_Privada,54135745859.89,550537251.92,716334,75573.33012238704
2012-08-01,Empresario,31131945624.64,440582487.7,287270,108371.72564012949
2012-08-01,Setor_Publico,38292379697.41,267084100.61,472946,80965.64871551933
2012-08-01,outro,95910630576.03,1479709850.23,1666173,57563.428633179145
2012-09-01,Aposentado,3733912053.99,43485661.6,67313,55470.890526198506
2012-09-01,Empresa_Privada,54522772565.71,585565383.33,712276,76547.25494851715
2012-09-01,Empresario,31578862685.24,491184696.62,286997,110032.03059697489
2012-09-01,Setor_Publico,38351720410.96,283326178.63,468039,81941.29209523137
2012-09-01,outro,98071641386.8,1576373002.66,1681851,58311.729984879756
2012-10-01,Aposentado,3769922216.52,42251989.4,67181,56115.89908634882
2012-10-01,Empresa_Privada,55712020960.75,589288499.11,718376,77552.73138405236
2012-10-01,Empresario,32416235985.62,493877288.27,290444,111609.24648338405
2012-10-01,Setor_Publico,39200789400.07,288969061.84,472122,83031.05849773998
2012-10-01,outro,101315917772.46,1559636558.52,1708981,59284.402677654114
2012-11-01,Aposentado,3806457267.57,44110065.49,67045,56774.66280214782
2012-11-01,Empresa_Privada,56781153993.91,623777339.6,722973,78538.41567238334
2012-11-01,Empresario,33150560790.08,508027189.8,293132,113090.89689996316
2012-11-01,Setor_Publico,39941846173.63,294965523.59,474932,84100.13680617436
2012-11-01,outro,104307499247.7,1629438911.3700001,1730540,60274.53814861257
2012-12-01,Aposentado,3857284082.9900002,43607610.53,66939,57623.86774511122
2012-12-01,Empresa_Privada,58100740546.56,580452273.26,729301,79666.33879092446
2012-12-01,Empresario,34006732356.8,500294570.95,296935,114525.84692542139
2012-12-01,Setor_Publico,41022849833.06,277576383.18,480198,85429.03101024994
2012-12-01,outro,107815760099.45,1579617940.26,1759575,61273.75082019806
2013-01-01,Aposentado,3883773913.61,40193768.44,66857,58090.759585533306
2013-01-01,Empresa_Privada,59093370516.67,578096934.74,734288,80477.10233133321
2013-01-01,Empresario,34675649911.62,498221946.19,299960,115600.91316048807
2013-01-01,Setor_Publico,41711865205.83,265954823.33,483390,86290.29397759573
2013-01-01,outro,110942983850.63,1638233569.41,1786947,62085.21229260297
2013-02-01,Aposentado,3908506969.26,44335301.63,66773,58534.24242223654
2013-02-01,Empresa_Privada,59956069714.18,653972009.7,738197,81219.6063031684
2013-02-01,Empresario,35291830087.11,559882957.65,302480,116674.92094389712
2013-02-01,Setor_Publico,42348957690.4,308879826.43,486426,87061.45989400239
2013-02-01,outro,113744525544.16,1925051868.02,1812942,62740.300320782466
2013-03-01,Aposentado,3958991331.19,48104125.25,66861,59212.26621184248
2013-03-01,Empresa_Privada,61294215425.47,736018090.87,744815,82294.55022451213
2013-03-01,Empresario,36165407376.42,620770212.57,306155,118127.7698434453
