data_base,tcb,carteira_ativa,ano
2012-07-01,Bancário,215820848921.55,2012
2012-07-01,Não bancário,1111705688.2,2012
2012-08-01,Bancário,222897800517.46,2012
2012-08-01,Não bancário,1134527988.53,2012
2012-09-01,Bancário,225941109292.03,2012
2012-09-01,Não bancário,1136536247.49,2012
2012-10-01,Bancário,232111695616.02,2012
2012-10-01,Não bancário,1127992744.72,2012
2012-11-01,Bancário,237701386634.24,2012
2012-11-01,Não bancário,1124832171.11,2012
2012-12-01,Bancário,244571020710.58002,2012
2012-12-01,Não bancário,1097871158.63,2012
2013-01-01,Bancário,250126358840.34,2013
2013-01-01,Não bancário,1018985887.27,2013
2013-02-01,Bancário,255091462728.76,2013
2013-02-01,Não bancário,1025512435.62,2013
2013-03-01,Bancário,261992755274.04,2013
2013-03-01,Não bancário,1056095819.19,2013
2013-04-01,Bancário,269247889685.01,2013
2013-04-01,Não bancário,1059813473.39,2013
2013-05-01,Bancário,278254455947.51,2013
2013-05-01,Não bancário,1057770278.08,2013
2013-06-01,Bancário,286778411879.36,2013
2013-06-01,Não bancário,1019190922.85,2013
2013-07-01,Bancário,294922590861.75,2013
2013-07-01,Não bancário,1010849289.58,2013
2013-08-01,Bancário,302916243953.93,2013
2013-08-01,Não bancário,1007435265.59,2013
2013-09-01,Bancário,307782316436.32,2013
2013-09-01,Não bancário,1008890312.39,2013
2013-10-01,Bancário,310724379066.32,2013
2013-10-01,Não bancário,1007721053.08,2013
2013-11-01,Bancário,318423263532.9,2013
2013-11-01,Não bancário,1009621372.07,2013
2013-12-01,Bancário,325784308825.97,2013
2013-12-01,Não bancário,1002129891.54,2013
2014-01-01,Bancário,331975510205.63,2014
2014-01-01,Não bancário,998522026.28,2014
2014-02-01,Bancário,338774581450.44,2014
2014-02-01,Não bancário,994937192.2,2014
2014-03-01,Bancário,344866808983.83,2014
2014-03-01,Não bancário,1000568244.47,2014
2014-04-01,Bancário,351610105010.48,2014
2014-04-01,Não bancário,1045841032.97,2014
2014-05-01,Bancário,360080290740.29,2014
2014-05-01,Não bancário,1047026798.38,2014
2014-06-01,Bancário,367924719236.64,2014
2014-06-01,Não bancário,1051470912.97,2014
2014-07-01,Bancário,376172276621.3,2014
2014-07-01,Não bancário,1049719650.42,2014
2014-08-01,Bancário,386764586374.53,2014
2014-08-01,Não bancário,1054068169.99,2014
2014-09-01,Bancário,392656137298.38,2014
2014-09-01,Não bancário,1036762775.3,2014
2014-10-01,Bancário,401877234052.04,2014
2014-10-01,Não bancário,1053464926.91,2014
2014-11-01,Bancário,410125697092.7,2014
2014-11-01,Não bancário,1066490448.33,2014
2014-12-01,Bancário,418789623677.66,2014
2014-12-01,Não bancário,1072235799.09,2014
2015-01-01,Bancário,426264261076.47,2015
2015-01-01,Não bancário,1078414959.5,2015
2015-02-01,Bancário,431220997013.81,2015
